ID,Name,Màn hình,Màu,OS,CPU,RAM,ROM,Camera,PIN,SIM,Loại,Lazada Url,TGDD url,FPT url,Lazada Price,TGDD Price,FPT Price,ImgUrl
1,APPLE IPHONE SE ,4" Retina,VÀNG,,Apple A9 2 nh�n,2 GB,16 GB,12 MP Selfie: 1.2 MP,1642 mAh SIM: 1 Sim,1 Sim, Hàng nhập khẩu,lazada.vn/apple-iphone-se-16gb-vang-hang-nhap-khau-21822376.html?ff=1&amp;time=1513000859&amp;sc=E6YR,https://www.thegioididong.com/may-doi-tra/dien-thoai/iphone-se-16gb?pid=74997,https://fptshop.com.vn/dien-thoai/iphone-6-32gb,5938000,5780000,8999000,https://cdn2.tgdd.vn/Products/Images/42/74997/iphone-se-16gb-2-200x200.jpg
2,ASUS ZENFONE 4 MAX PRO ZC554KL ,5.5" HD,�?en,,Qualcomm Snapdragon 430 8 nh�n 64 bit,3 GB,32 GB,16 MP v� 5 MP (2 camera) Selfie: 16 MP,5000 mAh,, Hãng phân phối chính thức,lazada.vn/asus-zenfone-4-max-pro-zc554kl-den-hang-phan-phoi-chinh-thuc-14324873.html?ff=1&amp;time=1513000859&amp;sc=E6YR,https://www.thegioididong.com/dtdd/asus-zenfone-4-max-pro-zc554kl,https://fptshop.com.vn/dien-thoai/asus-zenfone-4-max-pro,3942000,4990000,4990000,https://cdn2.tgdd.vn/Products/Images/42/112432/asus-zenfone-4-max-pro-zc554kl-6-200x200.jpg
3,Apple iPhone 6 ,4.7" HD,Vàng,,Apple A8 2 nh�n,1 GB,32 GB,8 MP Selfie: 1.2 MP,1810 mAh,, Hãng Phân phối chính thức,lazada.vn/apple-iphone-6-32gb-vang-hang-phan-phoi-chinh-thuc-8074291.html?ff=1&amp;time=1513000859&amp;sc=E6YR,https://www.thegioididong.com/dtdd/iphone-6-32gb-gold,https://fptshop.com.vn/dien-thoai/iphone-7-plus-128gb,7688000,8990000,22999000,https://cdn2.tgdd.vn/Products/Images/42/92962/iphone-6-32gb-gold-up-9-h1-200x200.jpg
4,Apple iPhone 7 ,5.5" Retina HD,,,Apple A10 Fusion 4 nh�n,3 GB,32 GB,Hai Camera 12 MP Selfie: 7 MP,2900 mAh SIM: 1 SIM,1 SIM, Hãng Phân Phối Chính Thức,lazada.vn/apple-iphone-7-32gb-vang-hong-hang-phan-phoi-chinh-thuc-2771009.html?ff=1&amp;time=1513000859&amp;sc=E6YR,https://www.thegioididong.com/dtdd/iphone-7-plus,https://fptshop.com.vn/dien-thoai/iphone-7-plus-128gb,14688000,19990000,22999000,https://cdn4.tgdd.vn/Products/Images/42/78124/iphone-7-plus-13-200x200.jpg
5,Apple iPhone 8 Plus ,5.5" Retina HD,Xám,,Apple A11 Bionic 6 nh�n,3 GB,64 GB,2 camera 12 MP Selfie: 7 MP,2691 mAh,, Hàng nhập khẩu,lazada.vn/apple-iphone-8-plus-64gb-xam-hang-nhap-khau-14736186.html?ff=1&amp;time=1513000859&amp;sc=E6YR,https://www.thegioididong.com/dtdd/iphone-8-plus,https://fptshop.com.vn/dien-thoai/samsung-galaxy-s8-plus,19521000,23990000,20490000,https://cdn.tgdd.vn/Products/Images/42/114110/iphone-8-plus-a-200x200.jpg
6,Samsung Galaxy J2 Prime ,5" qHD,null,,MT6737 4 nh�n,1.5 GB,8 GB,8 MP Selfie: 5 MP,2600 mAh SIM: 2 SIM,2 SIM, Hãng phân phối chính thức,lazada.vn/samsung-galaxy-j2-prime-8gb-hong-hang-phan-phoi-chinh-thuc-4578954.html?ff=1&amp;time=1513000859&amp;sc=E6YR,https://www.thegioididong.com/dtdd/samsung-galaxy-j2-prime,https://fptshop.com.vn/dien-thoai/samsung-galaxy-j2-prime,2107000,2690000,2690000,https://cdn3.tgdd.vn/Products/Images/42/88573/samsung-galaxy-j2-prime-1-200x200.jpg
7,Samsung Galaxy J7 Plus ,5.5" Full HD,�?en,,MediaTek Helio P25 8 nh�n,4 GB,32 GB,13 MP v� 5 MP (2 camera) Selfie: 16 MP,3000 mAh,, Hãng phân phối chính thức,lazada.vn/samsung-galaxy-j7-plus-32gb-4gb-ram-2017-den-hang-phan-phoi-chinh-thuc-24702763.html?ff=1&amp;time=1513000859&amp;sc=E6YR&amp;mp=1,https://www.thegioididong.com/dtdd/samsung-galaxy-j7-plus,https://fptshop.com.vn/dien-thoai/samsung-galaxy-j7-plus,7415000,8690000,8690000,https://cdn.tgdd.vn/Products/Images/42/112970/samsung-galaxy-j7-plus-1-200x200.jpg
8,Samsung Galaxy J7 Prime ,5.5" Full HD,Xanh,,Exynos 7870 8 nh�n,3 GB,32 GB,13 MP Selfie: 8 MP,3300 mAh SIM: 2 SIM,2 SIM,Hãng Phân Phối Chính Thức,lazada.vn/samsung-galaxy-j7-prime-xanh-hang-phan-phoi-chinh-thuc-21901902.html?ff=1&amp;time=1513000859&amp;sc=E6YR,https://www.thegioididong.com/dtdd/samsung-galaxy-j7-prime,https://fptshop.com.vn/dien-thoai/samsung-galaxy-j7-prime,4517000,5490000,5490000,https://cdn3.tgdd.vn/Products/Images/42/84798/samsung-galaxy-j7-prime-h1-200x200.jpg
9,Samsung Galaxy J7 Prime ,5.5" Full HD,,,Exynos 7870 8 nh�n,3 GB,32 GB,13 MP Selfie: 8 MP,3300 mAh SIM: 2 SIM,2 SIM, Hãng Phân phối chính thức,lazada.vn/samsung-galaxy-j7-prime-32g-vang-trang-hang-phan-phoi-chinh-thuc-2850988.html?ff=1&amp;time=1513000859&amp;sc=E6YR,https://www.thegioididong.com/dtdd/samsung-galaxy-j7-prime,https://fptshop.com.vn/dien-thoai/samsung-galaxy-j7-prime,4471000,5490000,5490000,https://cdn3.tgdd.vn/Products/Images/42/84798/samsung-galaxy-j7-prime-h1-200x200.jpg
10,Samsung Galaxy J7 Prime ,5.5" Full HD,,,Exynos 7870 8 nh�n,3 GB,32 GB,13 MP Selfie: 8 MP,3300 mAh SIM: 2 SIM,2 SIM, Hãng Phân phối chính thức,lazada.vn/samsung-galaxy-j7-prime-32g-vang-trang-hang-phan-phoi-chinh-thuc-2850988.html?ff=1&amp;time=1513000859&amp;sc=E6YR,https://www.thegioididong.com/dtdd/samsung-galaxy-j7-prime,https://fptshop.com.vn/dien-thoai/samsung-galaxy-j7-prime,4471000,5490000,5490000,https://cdn3.tgdd.vn/Products/Images/42/84798/samsung-galaxy-j7-prime-h1-200x200.jpg
11,Samsung Galaxy J7 Prime ,5.5" Full HD,Vàng,,Exynos 7870 8 nh�n,3 GB,32 GB,13 MP Selfie: 8 MP,3300 mAh SIM: 2 SIM,2 SIM, Hãng phân phối chính thức,lazada.vn/samsung-galaxy-j7-prime-32gb-vang-hang-phan-phoi-chinh-thuc-2850978.html?ff=1&amp;time=1513000859&amp;sc=E6YR,https://www.thegioididong.com/dtdd/samsung-galaxy-j7-prime,https://fptshop.com.vn/dien-thoai/samsung-galaxy-j7-prime,4499000,5490000,5490000,https://cdn3.tgdd.vn/Products/Images/42/84798/samsung-galaxy-j7-prime-h1-200x200.jpg
